,scene,effect,simulation,question,truth,marked,length,correct
0,"In a simulation, there is a ball. It is placed in mid-air a bit above a staircase desending to the right.",,1458370,"After a fraction of a seccond, it is imposible that the ball is moving",False,False,105,True
1,"In a simulation, there is a ball. It is placed in mid-air a bit above a staircase desending to the right.",,1458370,"After a fraction of a seccond, it is certain that the ball is rolling",False,False,105,True
2,"In a simulation, there is a ball. It is placed in mid-air a bit above a staircase desending to the right.",,1458370,"After a fraction of a seccond, it is likely that the ball is moving",True,True,105,True
9,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"After a few seconds of time, it is reasonable that the cube is moving",True,True,133,True
10,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"Across a fraction of a second, the cube will begin to collide with the flat platform with a cliff to the right",False,False,133,True
12,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"A few seconds following these changes, it is impossible that the cube collided with the flat platform with a cliff to the right",False,False,133,True
13,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"A few seconds following these changes, it is unlikely that the cube is moving",True,True,133,True
14,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"A few seconds following these changes, it is unlikely that the cube is rolling",True,True,133,True
15,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"A few seconds following these changes, it isimpossible that the cube collided with the flat platform with a cliff to the right",False,False,133,True
16,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"A few seconds following these changes, it is certain that the cube is rolling",False,False,133,True
19,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"Overall, it is unlikely that the cube is rolling",True,True,133,True
20,"In a simulation, there is a cube which is pushed left. It is placed in mid-air a bit above a flat platform with a cliff to the right.","After a little bit, the cube becomes quite heavy",7581701,"Overall, it is certain that the cube is rolling",False,False,133,True
